Religion,Region,Percent Change,Years
Agnostic,Africa,200,1970-2010
Agnostic,Asia,-40.69,1970-2010
Agnostic,Europe,-5.26,1970-2010
Agnostic,Latin America,52.38,1970-2010
Agnostic,Northern America,174.51,1970-2010
Agnostic,Oceania,344.12,1970-2010
Atheist,Asia,-45.1,1970-2010
Atheist,Europe,-74.39,1970-2010
Atheist,Latin America,25,1970-2010
Atheist,Northern America,500,1970-2010
Atheist,Oceania,18.18,1970-2010
Buddhist,Asia,8.33,1970-2010
Buddhist,Europe,100,1970-2010
Buddhist,Latin America,0,1970-2010
Buddhist,Northern America,1200,1970-2010
Buddhist,Oceania,1500,1970-2010
Christian,Africa,28.12,1970-2010
Christian,Asia,82.22,1970-2010
Christian,Europe,5.22,1970-2010
Christian,Latin America,-2.02,1970-2010
Christian,Northern America,-13.6,1970-2010
Christian,Oceania,-17.28,1970-2010
Hindu,Africa,0,1970-2010
Hindu,Asia,4.15,1970-2010
Hindu,Latin America,-50,1970-2010
Hindu,Northern America,400,1970-2010
Hindu,Oceania,40,1970-2010
Muslim,Africa,2.71,1970-2010
Muslim,Asia,37.04,1970-2010
Muslim,Europe,100,1970-2010
Muslim,Latin America,200,1970-2010
Muslim,Northern America,300,1970-2010
Muslim,Oceania,275,1970-2010
Agnostic,Africa,0,2010-2020
Agnostic,Asia,-2.48,2010-2020
Agnostic,Europe,7.94,2010-2020
Agnostic,Latin America,9.37,2010-2020
Agnostic,Northern America,24.29,2010-2020
Agnostic,Oceania,28.48,2010-2020
Atheist,Asia,-10.71,2010-2020
Atheist,Europe,-4.76,2010-2020
Atheist,Latin America,0,2010-2020
Atheist,Northern America,383.33,2010-2020
Atheist,Oceania,215.38,2010-2020
Buddhist,Asia,-3.42,2010-2020
Buddhist,Europe,50,2010-2020
Buddhist,Latin America,0,2010-2020
Buddhist,Northern America,0,2010-2020
Buddhist,Oceania,43.75,2010-2020
Christian,Africa,1.24,2010-2020
Christian,Asia,-1.22,2010-2020
Christian,Europe,-2.54,2010-2020
Christian,Latin America,-0.11,2010-2020
Christian,Northern America,-7.23,2010-2020
Christian,Oceania,-12.4,2010-2020
Hindu,Africa,0,2010-2020
Hindu,Asia,0,2010-2020
Hindu,Latin America,0,2010-2020
Hindu,Northern America,20,2010-2020
Hindu,Oceania,35.71,2010-2020
Muslim,Africa,-0.48,2010-2020
Muslim,Asia,5.79,2010-2020
Muslim,Europe,21.43,2010-2020
Muslim,Latin America,0,2010-2020
Muslim,Northern America,-6.25,2010-2020
Muslim,Oceania,40,2010-2020
Agnostic,Africa,200,1970-2020
Agnostic,Asia,-42.16,1970-2020
Agnostic,Europe,2.26,1970-2020
Agnostic,Latin America,66.67,1970-2020
Agnostic,Northern America,241.18,1970-2020
Agnostic,Oceania,470.59,1970-2020
Atheist,Asia,-50.98,1970-2020
Atheist,Europe,-75.61,1970-2020
Atheist,Latin America,25,1970-2020
Atheist,Northern America,2800,1970-2020
Atheist,Oceania,272.73,1970-2020
Buddhist,Asia,4.63,1970-2020
Buddhist,Europe,200,1970-2020
Buddhist,Latin America,0,1970-2020
Buddhist,Northern America,1200,1970-2020
Buddhist,Oceania,2200,1970-2020
Christian,Africa,29.71,1970-2020
Christian,Asia,80,1970-2020
Christian,Europe,2.54,1970-2020
Christian,Latin America,-2.12,1970-2020
Christian,Northern America,-19.85,1970-2020
Christian,Oceania,-27.54,1970-2020
Hindu,Africa,0,1970-2020
Hindu,Asia,4.15,1970-2020
Hindu,Latin America,-50,1970-2020
Hindu,Northern America,500,1970-2020
Hindu,Oceania,90,1970-2020
Muslim,Africa,2.22,1970-2020
Muslim,Asia,44.97,1970-2020
Muslim,Europe,142.86,1970-2020
Muslim,Latin America,200,1970-2020
Muslim,Northern America,275,1970-2020
Muslim,Oceania,425,1970-2020
