Time,Region,Births Per 1000
1970,Eastern Africa,5401
2010,Eastern Africa,13395
2020,Eastern Africa,15279
1970,Middle Africa,1913
2010,Middle Africa,5923
2020,Middle Africa,7576
1970,Northern Africa,3652
2010,Northern Africa,5751
2020,Northern Africa,5990
1970,Southern Africa,1000
2010,Southern Africa,1377
2020,Southern Africa,1406
1970,Western Africa,5183
2010,Western Africa,13241
2020,Western Africa,14123
1970,Eastern Asia,35442
2010,Eastern Asia,20076
2020,Eastern Asia,13600
1970,South-Eastern Asia,10768
2010,South-Eastern Asia,11973
2020,South-Eastern Asia,10618
1970,Western Asia,3507
2010,Western Asia,5560
2020,Western Asia,5748
1970,Eastern Europe,4323
2010,Eastern Europe,3474
2020,Eastern Europe,2787
1970,Northern Europe,1388
2010,Northern Europe,1262
2020,Northern Europe,1080
1970,Southern Europe,2361
2010,Southern Europe,1541
2020,Southern Europe,1146
1970,Western Europe,2492
2010,Western Europe,1959
2020,Western Europe,1934
1970,Caribbean,853
2010,Caribbean,760
2020,Caribbean,675
1970,Central America,3023
2010,Central America,3346
2020,Central America,3086
1970,South America,6593
2010,South America,6694
2020,South America,5900
1970,Australia/New Zealand,319
2010,Australia/New Zealand,365
2020,Australia/New Zealand,353
1970,Melanesia,144
2010,Melanesia,285
2020,Melanesia,307
1970,Micronesia,9
2010,Micronesia,13
2020,Micronesia,11
1970,Polynesia,16
2010,Polynesia,16
2020,Polynesia,13
1970,South-central Asia,31494
2010,South-central Asia,41988
2020,South-central Asia,39081
1970,Northern America,4252
2010,Northern America,4358
2020,Northern America,4006
