Time,Region,Crude Birth Rate
1970,Eastern Africa,49.2
2010,Eastern Africa,38.79
2020,Eastern Africa,33.86
1970,Middle Africa,47.05
2010,Middle Africa,43.59
2020,Middle Africa,40.32
1970,Northern Africa,44.26
2010,Northern Africa,27.26
2020,Northern Africa,23.37
1970,Southern Africa,39.88
2010,Southern Africa,23.1
2020,Southern Africa,20.35
1970,Western Africa,48.22
2010,Western Africa,41.31
2020,Western Africa,33.92
1970,Eastern Asia,35.52
2010,Eastern Asia,12.65
2020,Eastern Asia,8.17
1970,South-Eastern Asia,38.43
2010,South-Eastern Asia,19.83
2020,South-Eastern Asia,15.73
1970,Western Asia,40.53
2010,Western Asia,23.64
2020,Western Asia,19.98
1970,Eastern Europe,15.66
2010,Eastern Europe,11.76
2020,Eastern Europe,9.49
1970,Northern Europe,15.89
2010,Northern Europe,12.64
2020,Northern Europe,10.18
1970,Southern Europe,18.46
2010,Southern Europe,9.99
2020,Southern Europe,7.51
1970,Western Europe,15.04
2010,Western Europe,10.38
2020,Western Europe,9.82
1970,Caribbean,33.64
2010,Caribbean,18.35
2020,Caribbean,15.44
1970,Central America,44.12
2010,Central America,21.34
2020,Central America,17.45
1970,South America,34.36
2010,South America,17.13
2020,South America,13.84
1970,Australia/New Zealand,20.7
2010,Australia/New Zealand,13.78
2020,Australia/New Zealand,11.44
1970,Melanesia,42.3
2010,Melanesia,29.75
2020,Melanesia,25.49
1970,Micronesia,36.97
2010,Micronesia,25.0
2020,Micronesia,21.71
1970,Polynesia,39.22
2010,Polynesia,23.46
2020,Polynesia,18.96
1970,South-central Asia,74.44
2010,South-central Asia,47.44
2020,South-central Asia,43.66
1970,Northern America,18.54
2010,Northern America,12.62
2020,Northern America,10.6
