Time,Region,Total Fertility Rate
1970,Eastern Africa,7.06
2010,Eastern Africa,5.21
2020,Eastern Africa,4.34
1970,Middle Africa,6.47
2010,Middle Africa,6.2
2020,Middle Africa,5.69
1970,Northern Africa,6.62
2010,Northern Africa,3.32
2020,Northern Africa,3.07
1970,Southern Africa,5.71
2010,Southern Africa,2.55
2020,Southern Africa,2.35
1970,Western Africa,6.71
2010,Western Africa,5.72
2020,Western Africa,4.65
1970,Eastern Asia,5.37
2010,Eastern Asia,1.66
2020,Eastern Asia,1.23
1970,South-Eastern Asia,5.61
2010,South-Eastern Asia,2.38
2020,South-Eastern Asia,2.02
1970,Western Asia,5.96
2010,Western Asia,2.96
2020,Western Asia,2.62
1970,Eastern Europe,2.14
2010,Eastern Europe,1.53
2020,Eastern Europe,1.46
1970,Northern Europe,2.34
2010,Northern Europe,1.89
2020,Northern Europe,1.58
1970,Southern Europe,2.61
2010,Southern Europe,1.45
2020,Southern Europe,1.3
1970,Western Europe,2.23
2010,Western Europe,1.68
2020,Western Europe,1.61
1970,Caribbean,4.68
2010,Caribbean,2.33
2020,Caribbean,2.05
1970,Central America,6.46
2010,Central America,2.46
2020,Central America,2.07
1970,South America,4.8
2010,South America,2.05
2020,South America,1.76
1970,Australia/New Zealand,2.91
2010,Australia/New Zealand,1.98
2020,Australia/New Zealand,1.6
1970,Melanesia,6.03
2010,Melanesia,3.75
2020,Melanesia,3.21
1970,Micronesia,5.73
2010,Micronesia,3.29
2020,Micronesia,2.94
1970,Polynesia,6.32
2010,Polynesia,3.14
2020,Polynesia,2.63
1970,South-central Asia,10.95
2010,South-central Asia,5.46
2020,South-central Asia,5.38
1970,Northern America,2.49
2010,Northern America,1.89
2020,Northern America,1.6
