Region,Christians 1910,1910%,Christians 1970,1970%,Christians 2010,2010%
Africa," 11,636,000 ",9.3," 137,867,000 ",37.7," 494,053,000 ",48.3
Eastern Africa," 5,266,000 ",16," 54,456,000 ",49.3," 214,013,000 ",66
Middle Africa," 207,000 ",1.1," 29,474,000 ",72.3," 104,579,000 ",82.5
Northern Africa," 3,081,000 ",9.6," 5,220,000 ",6.4," 16,761,000 ",8
Southern Africa," 2,526,000 ",37," 19,008,000 ",75.5," 47,598,000 ",82.4
Western Africa," 557,000 ",1.7," 29,709,000 ",27.8," 111,103,000 ",36.5
Asia," 25,086,000 ",2.4," 97,389,000 ",4.5," 342,012,000 ",8.2
Eastern Asia," 2,251,000 ",0.4," 11,418,000 ",1.1," 127,573,000 ",8.1
South-central Asia," 5,182,000 ",1.5," 27,219,000 ",3.5," 69,990,000 ",4
South-eastern Asia," 10,124,000 ",10.8," 52,295,000 ",18.7," 130,271,000 ",22
Western Asia," 7,529,000 ",22.8," 6,457,000 ",7.3," 14,178,000 ",6.1
Europe," 403,546,000 ",94.5," 490,507,000 ",74.7," 580,116,000 ",78.6
Eastern Europe," 159,695,000 ",89.6," 156,919,000 ",56.9," 247,550,000 ",84
Northern Europe," 60,324,000 ",98.1," 75,490,000 ",86.4," 74,228,000 ",74.8
Southern Europe," 74,391,000 ",96.8," 111,361,000 ",87.2," 127,943,000 ",82.5
Western Europe," 109,136,000 ",98.7," 146,737,000 ",88.7," 130,395,000 ",69
Latin America," 74,462,000 ",95.2," 269,961,000 ",94.2," 544,686,000 ",92.3
Caribbean," 7,986,000 ",97.7," 19,941,000 ",78.2," 34,774,000 ",83.5
Central America," 20,595,000 ",99," 66,430,000 ",97.6," 149,426,000 ",95.9
South America," 45,881,000 ",93.1," 183,590,000 ",95.2," 360,486,000 ",91.8
Northern America," 91,429,000 ",96.6," 202,363,000 ",91.2," 271,554,000 ",78.8
Oceania," 5,651,000 ",78.6," 17,636,000 ",92.6," 28,019,000 ",76.6
Australia/New Zealand," 5,207,000 ",96.9," 14,391,000 ",93.3," 18,869,000 ",70.8
Melanesia," 245,000 ",15.4," 2,999,000 ",88.5," 8,004,000 ",91.5
Micronesia," 68,600 ",76.7," 246,000 ",95.7," 499,000 ",93.1
Polynesia," 130,000 ",99.2," 409,000 ",98.1," 647,000 ",96.1
Global total," 611,810,000 ",34.8," 1,215,723,000 ",32.9," 2,260,440,000 ",32.8
