Region,Agnostics 2020,2020%,Agnostics 2050,2050%
Africa," 8,215,000 ",0.6," 16,509,000 ",0.7
Eastern Africa," 1,094,000 ",0.2," 2,479,000 ",0.3
Middle Africa," 1,074,000 ",0.6," 2,203,000 ",0.6
Northern Africa," 1,611,000 ",0.7," 2,532,000 ",0.7
Southern Africa," 3,274,000 ",4.8," 6,665,000 ",7.6
Western Africa," 1,163,000 ",0.3," 2,630,000 ",0.3
Asia," 547,520,000 ",11.8," 430,397,000 ",8.1
Eastern Asia," 505,861,000 ",30.1," 374,004,000 ",23.1
South-central Asia," 19,517,000 ",0.1," 27,338,000 ",1.1
South-eastern Asia," 18,834,000 ",2.8," 23,341,000 ",2.9
Western Asia," 3,308,000 ",1.2," 5,714,000 ",1.5
Europe," 101,371,000 ",13.6," 112,774,000 ",15.9
Eastern Europe," 22,370,000 ",7.6," 14,525,000 ",5.5
Northern Europe," 20,628,000 ",19.4," 27,816,000 ",24.2
Southern Europe," 14,073,000 ",9.2," 17,473,000 ",12.8
Western Europe," 44,300,000 ",22.6," 52,961,000 ",26.9
Latin America," 22,594,000 ",3.5," 43,154,000 ",5.7
Caribbean," 2,804,000 ",6.4," 3,504,000 ",7.4
Central America," 4,780,000 ",2.7," 10,556,000 ",4.7
South America," 15,009,000 ",3.5," 29,095,000 ",5.9
Northern America," 64,155,000 ",17.4," 91,007,000 ",21.4
Oceania," 8,281,000 ",19.4," 13,303,000 ",23.2
Australia/New Zealand," 8,160,000 ",26.9," 13,085,000 ",34.1
Melanesia," 97,800 ",0.9," 178,000 ",1
Micronesia," 7,200 ",1.3," 12,700 ",1.9
Polynesia," 15,700 ",2.3," 27,400 ",3.4
Global total," 752,135,000 ",9.6," 707,144,000 ",7.3
