Region,A 2020,2020%,A 2050,2050%
Africa," 739,000 ",0.1," 1,244,000 ",0
Eastern Africa," 150,000 ",0," 308,000 ",0
Middle Africa," 160,000 ",0.1," 265,000 ",0.1
Northern Africa," 178,000 ",0.1," 276,000 ",0.1
Southern Africa," 165,000 ",0.2," 223,000 ",0.3
Western Africa," 85,600 ",0," 172,000 ",0
Asia," 118,157,000 ",2.5," 94,972,000 ",1.8
Eastern Asia," 108,048,000 ",6.4," 83,145,000 ",5.1
South-central Asia," 2,804,000 ",0.1," 3,610,000 ",0.1
South-eastern Asia," 6,921,000 ",1," 7,700,000 ",1
Western Asia," 384,000 ",0.1," 517,000 ",0.1
Europe," 15,106,000 ",2," 17,489,000 ",2.5
Eastern Europe," 3,612,000 ",1.2," 2,192,000 ",0.8
Northern Europe," 2,479,000 ",2.3," 3,341,000 ",2.9
Southern Europe," 2,309,000 ",2.1," 4,091,000 ",3
Western Europe," 5,805,000 ",3," 7,866,000 ",4
Latin America," 3,202,000 ",0.5," 4,459,000 ",0.6
Caribbean," 570,000 ",1.3," 490,000 ",1
Central America," 280,000 ",0.2," 561,000 ",0.3
South America," 2,352,000 ",0.5," 3,408,000 ",0.7
Northern America," 10,587,000 ",2.9," 21,351,000 ",5
Oceania," 1,732,000 ",4.1," 3,365,000 ",5.9
Australia/New Zealand," 1,724,000 ",5.7," 3,350,000 ",8.7
Melanesia," 6,400 ",0.1," 11,300 ",0.1
Micronesia, 220 ,0, 560 ,0.1
Polynesia," 1,600 ",0.2," 2,700 ",0.3
Global total," 149,523,000 ",1.9," 142,879,000 ",1.5
