Region,Hindus 2020,2020%,Hindus 2050,2050%
Africa," 3,555,000 ",0.3," 5,031,000 ",0.2
Eastern Africa," 1,939,000 ",0.4," 2,817,000 ",0.3
Middle Africa," 136,000 ",0.1," 302,000 ",0.1
Northern Africa," 8,600 ",0," 15,600 ",0
Southern Africa," 1,421,000 ",2.1," 1,807,000 ",2.1
Western Africa," 51,800 ",0," 88,800 ",0
Asia," 1,049,702,000 ",22.6," 1,194,647,000 ",22.6
Eastern Asia," 66,700 ",0," 81,000 ",0
South-central Asia," 1,039,590,300 ",51.6," 1,182,375,000 ",47.4
South-eastern Asia," 7,872,000 ",1.2," 9,259,000 ",1.2
Western Asia," 2,173,000 ",0.8," 2,932,000 ",0.8
Europe," 1,275,000 ",0.2," 1,911,000 ",0.3
Eastern Europe," 50,000 ",0," 51,500 ",0
Northern Europe," 730,000 ",0.7," 1,019,000 ",0.9
Southern Europe," 198,000 ",0.1," 410,000 ",0.3
Western Europe," 297,000 ",0.2," 431,000 ",0.2
Latin America," 819,000 ",0.1," 850,000 ",0.1
Caribbean," 397,000 ",0.9," 375,000 ",0.8
Central America," 22,100 ",0," 37,000 ",0
South America," 399,000 ",0.1," 438,000 ",0.1
Northern America," 2,080,000 ",0.6," 3,280,000 ",0.8
Oceania," 815,000 ",1.9," 1,137,000 ",2
Australia/New Zealand," 565,000 ",1.9," 875,000 ",2.3
Melanesia," 250,000 ",2.2," 262,000 ",1.5
Micronesia, 23 ,0, 100 ,0
Polynesia, 110 ,0, 150 ,0
Global total," 1,058,245,000 ",13.6," 1,206,856,000 ",12.4
