Region,Muslims 2020,2020%,Muslims 2050,2050%
Africa," 556,923,000 ",41.5," 1,043,699,000 ",41.9
Eastern Africa," 98,610,000 ",22.1," 198,812,000 ",23.4
Middle Africa," 17,310,000 ",9.6," 35,421,000 ",9.3
Northern Africa," 231,451,000 ",94," 352,943,000 ",95
Southern Africa," 1,046,000 ",1.6," 1,342,000 ",1.5
Western Africa," 208,506,000 ",51.9," 455,180,000 ",57.1
Asia," 1,270,800,000 ",27.4," 1,708,609,000 ",32.3
Eastern Asia," 24,371,000 ",1.5," 33,750,000 ",2.1
South-central Asia," 748,532,000 ",37.2," 1,027,807,000 ",41.2
South-eastern Asia," 248,591,000 ",37.2," 302,044,000 ",38
Western Asia," 249,306,000 ",89.2," 345,008,000 ",90.2
Europe," 50,647,000 ",6.8," 73,792,000 ",10.4
Eastern Europe," 19,040,000 ",6.5," 23,076,000 ",8.8
Northern Europe," 5,881,000 ",5.5," 12,123,000 ",10.5
Southern Europe," 11,381,000 ",7.5," 15,088,000 ",11
Western Europe," 14,346,000 ",7.3," 23,505,000 ",11.9
Latin America," 1,773,000 ",0.3," 2,699,000 ",0.4
Caribbean," 119,000 ",0.3," 136,000 ",0.3
Central America," 172,000 ",0.1," 277,000 ",0.1
South America," 1,482,000 ",0.3," 2,286,000 ",0.5
Northern America," 5,671,000 ",1.5," 12,551,000 ",3
Oceania," 888,000 ",2.1," 1,403,000 ",2.4
Australia/New Zealand," 818,000 ",2.7," 1,320,000 ",3.4
Melanesia," 68,200 ",0.6," 80,300 ",0.5
Micronesia," 1,100 ",0.2," 2,200 ",0.3
Polynesia, 75 ,0, 170 ,0
Global total," 1,886,702,000 ",24.2," 2,842,753,000 ",29.2
