Religion,Region,Year,Percent Change
Agnostic,Eastern Africa,1970-2010,1422.28
Agnostic,Eastern Africa,2010-2020,28.1
Agnostic,Eastern Africa,1970-2020,1850.09
Agnostic,Middle Africa,1970-2010,2013.37
Agnostic,Middle Africa,2010-2020,47.73
Agnostic,Middle Africa,1970-2020,3022.09
Agnostic,Northern Africa,1970-2010,455.7
Agnostic,Northern Africa,2010-2020,27.15
Agnostic,Northern Africa,1970-2020,606.58
Agnostic,Southern Africa,1970-2010,1731.13
Agnostic,Southern Africa,2010-2020,18.41
Agnostic,Southern Africa,1970-2020,2068.21
Agnostic,Western Africa,1970-2010,642.86
Agnostic,Western Africa,2010-2020,31.56
Agnostic,Western Africa,1970-2020,877.31
Agnostic,Eastern Asia,1970-2010,12.28
Agnostic,Eastern Asia,2010-2020,8.27
Agnostic,Eastern Asia,1970-2020,21.56
Agnostic,South-central Asia,1970-2010,51.39
Agnostic,South-central Asia,2010-2020,12.8
Agnostic,South-central Asia,1970-2020,70.77
Agnostic,South-eastern Asia,1970-2010,201.73
Agnostic,South-eastern Asia,2010-2020,9.97
Agnostic,South-eastern Asia,1970-2020,231.82
Agnostic,Western Asia,1970-2010,-20.56
Agnostic,Western Asia,2010-2020,6.64
Agnostic,Western Asia,1970-2020,-15.29
Agnostic,Eastern Europe,1970-2010,-59.52
Agnostic,Eastern Europe,2010-2020,-5.26
Agnostic,Eastern Europe,1970-2020,-61.65
Agnostic,Northern Europe,1970-2010,121.54
Agnostic,Northern Europe,2010-2020,17.42
Agnostic,Northern Europe,1970-2020,160.13
Agnostic,Southern Europe,1970-2010,43.2
Agnostic,Southern Europe,2010-2020,6.12
Agnostic,Southern Europe,1970-2020,51.96
Agnostic,Western Europe,1970-2010,223.4
Agnostic,Western Europe,2010-2020,13.93
Agnostic,Western Europe,1970-2020,268.46
Agnostic,Caribbean,1970-2010,0.65
Agnostic,Caribbean,2010-2020,0.0
Agnostic,Caribbean,1970-2020,0.65
Agnostic,Central America,1970-2010,323.82
Agnostic,Central America,2010-2020,26.72
Agnostic,Central America,1970-2020,437.08
Agnostic,South America,1970-2010,413.15
Agnostic,South America,2010-2020,23.67
Agnostic,South America,1970-2020,534.63
Agnostic,Northern America,1970-2010,323.99
Agnostic,Northern America,2010-2020,33.33
Agnostic,Northern America,1970-2020,465.29
Agnostic,Australia/New Zealand,1970-2010,741.02
Agnostic,Australia/New Zealand,2010-2020,50.19
Agnostic,Australia/New Zealand,1970-2020,1163.16
Agnostic,Melanesia,1970-2010,738.2
Agnostic,Melanesia,2010-2020,31.1
Agnostic,Melanesia,1970-2020,998.88
Agnostic,Micronesia,1970-2010,407.69
Agnostic,Micronesia,2010-2020,9.09
Agnostic,Micronesia,1970-2020,453.85
Agnostic,Polynesia,1970-2010,492.0
Agnostic,Polynesia,2010-2020,6.08
Agnostic,Polynesia,1970-2020,528.0
Atheist,Eastern Africa,1970-2010,1722.58
Atheist,Eastern Africa,2010-2020,32.74
Atheist,Eastern Africa,1970-2020,2319.35
Atheist,Middle Africa,1970-2010,2166.67
Atheist,Middle Africa,2010-2020,56.86
Atheist,Middle Africa,1970-2020,3455.56
Atheist,Northern Africa,1970-2010,122.05
Atheist,Northern Africa,2010-2020,21.09
Atheist,Northern Africa,1970-2020,168.88
Atheist,Southern Africa,1970-2010,2645.1
Atheist,Southern Africa,2010-2020,17.86
Atheist,Southern Africa,1970-2020,3135.29
Atheist,Western Africa,1970-2010,228.57
Atheist,Western Africa,2010-2020,24.06
Atheist,Western Africa,1970-2020,307.62
Atheist,Eastern Asia,1970-2010,6.46
Atheist,Eastern Asia,2010-2020,2.49
Atheist,Eastern Asia,1970-2020,9.12
Atheist,South-central Asia,1970-2010,-60.97
Atheist,South-central Asia,2010-2020,4.78
Atheist,South-central Asia,1970-2020,-59.1
Atheist,South-eastern Asia,1970-2010,350.0
Atheist,South-eastern Asia,2010-2020,8.01
Atheist,South-eastern Asia,1970-2020,386.03
Atheist,Western Asia,1970-2010,-83.91
Atheist,Western Asia,2010-2020,10.66
Atheist,Western Asia,1970-2020,-82.2
Atheist,Eastern Europe,1970-2010,-89.77
Atheist,Eastern Europe,2010-2020,-21.36
Atheist,Eastern Europe,1970-2020,-91.95
Atheist,Northern Europe,1970-2010,8.95
Atheist,Northern Europe,2010-2020,2.31
Atheist,Northern Europe,1970-2020,11.47
Atheist,Southern Europe,1970-2010,9.53
Atheist,Southern Europe,2010-2020,-29.24
Atheist,Southern Europe,1970-2020,-22.49
Atheist,Western Europe,1970-2010,45.42
Atheist,Western Europe,2010-2020,7.16
Atheist,Western Europe,1970-2020,55.84
Atheist,Caribbean,1970-2010,27.98
Atheist,Caribbean,2010-2020,-11.63
Atheist,Caribbean,1970-2020,13.1
Atheist,Central America,1970-2010,647.66
Atheist,Central America,2010-2020,16.67
Atheist,Central America,1970-2020,772.27
