Region,Population 1910,Population 2010,Population 2020,Population 2050,Atheists 1910,Atheists % 1910,Atheists 2010,Atheists % 2010,Atheists 2020,Atheists % 2020,Atheists 2050,Atheists % 2050
Africa,124541000,1022234000,1340598000,2489275000,1100,0.0,571000,0.1,739000,0.1,1244000,0.0
Eastern Africa,33012000,324044000,445406000,851218000,20,0.0,113000,0.0,150000,0.0,308000,0.0
Middle Africa,19445000,126689000,179595000,382640000,0,0.0,102000,0.1,160000,0.1,265000,0.1
Northern Africa,31968000,209459000,246233000,371545000,1100,0.0,147000,0.1,178000,0.1,276000,0.1
Southern Africa,6819000,57780000,67504000,87379000,0,0.0,140000,0.2,165000,0.2,223000,0.3
Western Africa,33296000,304261000,401861000,796494000,0,0.0,69000,0.0,85600,0.0,172000,0.0
Asia,1026693000,4164252000,4641055000,5290263000,7600,0.0,114851000,2.8,118157000,2.5,94972000,1.8
Eastern Asia,554135000,1573970000,1678090000,1617342000,1000,0.0,105421000,6.7,108048000,6.4,83145000,5.1
South-central Asia,345718000,1764872000,2014708000,2496417000,6100,0.0,2676000,0.2,2804000,0.1,3610000,0.1
South-eastern Asia,93859000,593415000,668620000,794002000,0,0.0,6408000,1.1,6921000,1.0,7700000,1.0
Western Asia,32982000,231995000,279637000,382502000,550,0.0,347000,0.1,384000,0.1,517000,0.1
Europe,427044000,738199000,747636000,710486000,219000,0.1,15697000,2.1,15106000,2.0,17489000,2.5
Eastern Europe,178184000,294771000,293013000,261977000,84100,0.0,4593000,1.6,3612000,1.2,2192000,0.8
Northern Europe,61473000,99205000,106261000,114960000,20800,0.0,2423000,2.4,2479000,2.3,3341000,2.9
Southern Europe,76828000,155171000,152215000,136648000,14300,0.0,3263000,2.1,2309000,2.1,4091000,3.0
Western Europe,110558000,189052000,196146000,196902000,99300,0.1,5417000,2.9,5805000,3.0,7866000,4.0
Latin America,78254000,590082000,653962000,762432000,12500,0.0,2900000,0.5,3202000,0.5,4459000,0.6
Caribbean,8172000,41646000,43532000,47394000,0,0.0,645000,1.5,570000,1.3,490000,1.0
Central America,20806000,155881000,179670000,223567000,0,0.0,240000,0.2,280000,0.2,561000,0.3
South America,49276000,392555000,430760000,491472000,12500,0.0,2014000,0.5,2352000,0.5,3408000,0.7
Northern America,94689000,344529000,368870000,425200000,2400,0.0,2156000,0.6,10587000,2.9,21351000,5.0
Oceania,7192000,36593000,42678000,57376000,1000,0.0,477000,1.3,1732000,4.1,3365000,5.9
Australia/New Zealand,5375000,26637000,30322000,38422000,1000,0.0,470000,1.8,1724000,5.7,3350000,8.7
Melanesia,1596000,8746000,11123000,17469000,0,0.0,5200,0.1,6400,0.1,11300,0.1
Micronesia,89400,536000,549000,674000,0,0.0,230,0.0,220,0.0,560,0.1
Polynesia,131000,673000,684000,811000,0,0.0,1600,0.2,1600,0.2,2700,0.3
Global total,1758412000,6895889000,7794799000,9735034000,243000,0.0,136652000,2.0,149523000,1.9,142879000,1.5
