Region,Population 1910,Population 2010,Population 2020,Population 2050,Christians 1910,Christians % 1910,Christians 2010,Christians % 2010,Christians 2020,Christians % 2020,Christians 2050,Christians % 2050
Africa,124541000,1022234000,1340598000,2489275000,11636000,9.3,494053000,48.3,654913000,48.9,1280641000,51.4
Eastern Africa,33012000,324044000,445406000,851218000,5266000,16.0,214013000,66.0,292393000,65.6,577014000,67.8
Middle Africa,19445000,126689000,179595000,382640000,207000,1.1,104579000,82.5,148998000,83.0,328208000,85.8
Northern Africa,31968000,209459000,246233000,371545000,3081000,9.6,16761000,8.0,11668000,4.7,14724000,4.0
Southern Africa,6819000,57780000,67504000,87379000,2526000,37.0,47598000,82.4,55465000,82.2,70990000,81.2
Western Africa,33296000,304261000,401861000,796494000,557000,1.7,111103000,36.5,146389000,36.4,289705000,36.4
Asia,1026693000,4164252000,4641055000,5290263000,25086000,2.4,342012000,8.2,377842000,8.1,559973000,10.6
Eastern Asia,554135000,1573970000,1678090000,1617342000,2251000,0.4,127573000,8.1,128446000,7.7,218347000,13.5
South-central Asia,345718000,1764872000,2014708000,2496417000,5182000,1.5,69990000,4.0,80912000,4.0,124889000,5.0
South-eastern Asia,93859000,593415000,668620000,794002000,10124000,10.8,130271000,22.0,152878000,22.9,200902000,25.3
Western Asia,32982000,231995000,279637000,382502000,7529000,22.8,14178000,6.1,15606000,5.6,15835000,4.1
Europe,427044000,738199000,747636000,710486000,403546000,94.5,580116000,78.6,572603000,76.6,496682000,69.9
Eastern Europe,178184000,294771000,293013000,261977000,159695000,89.6,247550000,84.0,245905000,83.9,220373000,84.1
Northern Europe,61473000,99205000,106261000,114960000,60324000,98.1,74228000,74.8,106261000,70.5,68689000,59.8
Southern Europe,76828000,155171000,152215000,136648000,74391000,96.8,127943000,82.5,152215000,80.6,98482000,72.1
Western Europe,110558000,189052000,196146000,196902000,109136000,98.7,130395000,69.0,196146000,65.8,109137000,55.4
Latin America,78254000,590082000,653962000,762432000,74462000,95.2,544686000,92.3,653962000,92.2,685870000,90.0
Caribbean,8172000,41646000,43532000,47394000,7986000,97.7,34774000,83.5,43532000,84.1,39963000,84.3
Central America,20806000,155881000,179670000,223567000,20595000,99.0,149426000,95.9,179670000,95.7,209112000,93.5
South America,49276000,392555000,430760000,491472000,45881000,93.1,360486000,91.8,430760000,91.5,436795000,88.9
Northern America,94689000,344529000,368870000,425200000,91429000,96.6,271554000,78.8,368870000,73.1,276078000,64.9
Oceania,7192000,36593000,42678000,57376000,5651000,78.6,28019000,76.6,42678000,67.1,34776000,60.6
Australia/New Zealand,5375000,26637000,30322000,38422000,5207000,96.9,18869000,70.8,30322000,56.9,16996000,44.2
Melanesia,1596000,8746000,11123000,17469000,245000,15.4,8004000,91.5,11123000,92.1,16400000,93.9
Micronesia,89400,536000,549000,674000,686000,76.7,499000,93.1,549000,93.1,614000,91.1
Polynesia,131000,673000,684000,811000,130000,99.2,647000,96.1,684000,96.1,766000,94.4
Global total,1758412000,6895889000,7794799000,9735034000,611810000,34.8,2260440000,32.8,7794799000,32.2,3334019000,34.2
