Region,Population 1910,Population 2010,Population 2020,Population 2050,Christians 1910,Christians % 1910,Christians 2010,Christians % 2010,Christians 2020,Christians % 2020,Christians 2050,Christians % 2050,Muslims 1910,Muslims % 1910,Muslims 2010,Muslims % 2010,Muslims 2020,Muslims % 2020,Muslims 2050,Muslims % 2050,Hindus 1910,Hindus % 1910,Hindus 2010,Hindus % 2010,Hindus 2020,Hindus % 2020,Hindus 2050,Hindus % 2050,Agnostics 1910,Agnostics % 1910,Agnostics 2010,Agnostics % 2010,Agnostics 2020,Agnostics % 2020,Agnostics 2050,Agnostics % 2050,Chinese folk-religionists 1910,Chinese folk-religionists % 1910,Chinese folk-religionists 2010,Chinese folk-religionists % 2010,Buddhists 1910,Buddhists % 1910,Buddhists 2010,Buddhists % 2010,Buddhists 2020,Buddhists % 2020,Buddhists 2050,Buddhists % 2050,Atheists 1910,Atheists % 1910,Atheists 2010,Atheists % 2010,Atheists 2020,Atheists % 2020,Atheists 2050,Atheists % 2050
Eastern Africa,33012000,324044000,445406000,851218000,5266000,16.0,214013000,66.0,292393000,65.6,577014000,67.8,4250000,12.9,70824000,21.9,98610000,22.1,198812000,23.4,242000,0.7,1612000,0.5,1939000,0.4,2817000,0.3,220,0.0,854000,0.3,1094000,0.2,2479000,0.3,33012000,0.0,324044000,0.0,3500,0.0,29600,0.0,40300,0.0,73500,0.0,20,0.0,113000,0.0,150000,0.0,308000,0.0
Middle Africa,19445000,126689000,179595000,382640000,207000,1.1,104579000,82.5,148998000,83.0,328208000,85.8,871000,4.5,12226000,9.7,17310000,9.6,35421000,9.3,0,0.0,99300,0.1,136000,0.1,302000,0.1,0,0.0,727000,0.6,1074000,0.6,2203000,0.6,19445000,0.0,126689000,0.0,0,0.0,7600,0.0,11100,0.0,25200,0.0,0,0.0,102000,0.1,160000,0.1,265000,0.1
Northern Africa,31968000,209459000,246233000,371545000,3081000,9.6,16761000,8.0,11668000,4.7,14724000,4.0,26275000,82.2,186697000,89.1,231451000,94.0,352943000,95.0,0,0.0,7400,0.0,8600,0.0,15600,0.0,5700,0.0,1267000,0.6,1611000,0.7,2532000,0.7,31968000,0.0,209459000,0.0,0,0.0,27400,0.0,26400,0.0,43200,0.0,1100,0.0,147000,0.1,178000,0.1,276000,0.1
Southern Africa,6819000,57780000,67504000,87379000,2526000,37.0,47598000,82.4,55465000,82.2,70990000,81.2,36800,0.5,887000,1.5,1046000,1.6,1342000,1.5,61400,0.9,1201000,2.1,1421000,2.1,1807000,2.1,2500,0.0,2765000,4.8,3274000,4.8,6665000,7.6,6819000,0.0,57780000,0.1,120,0.0,160000,0.3,249000,0.4,402000,0.5,0,0.0,140000,0.2,165000,0.2,223000,0.3
Western Africa,33296000,304261000,401861000,796494000,557000,1.7,111103000,36.5,146389000,36.4,289705000,36.4,8482000,25.5,155227000,51.0,208506000,51.9,455180000,57.1,100,0.0,9700,0.0,51800,0.0,88800,0.0,0,0.0,884000,0.3,1163000,0.3,2630000,0.3,33296000,0.0,304261000,0.0,0,0.0,29500,0.0,38900,0.0,66700,0.0,0,0.0,69000,0.0,85600,0.0,172000,0.0
Eastern Asia,554135000,1573970000,1678090000,1617342000,2251000,0.4,127573000,8.1,128446000,7.7,218347000,13.5,24450000,4.4,21601000,1.4,24371000,1.5,33750000,2.1,8000,0.0,61800,0.0,66700,0.0,81000,0.0,30900,0.0,467232000,29.7,505861000,30.1,374004000,23.1,554135000,70.1,1573970000,26.9,103665000,18.7,299334000,19.0,321176000,19.1,340905000,21.1,1000,0.0,105421000,6.7,108048000,6.4,83145000,5.1
South-central Asia,345718000,1764872000,2014708000,2496417000,5182000,1.5,69990000,4.0,80912000,4.0,124889000,5.0,102025000,29.5,632333000,35.8,748532000,37.2,1027807000,41.2,221364000,64.0,933161000,52.9,1039590300,51.6,1182375000,47.4,15800,0.0,17302000,1.0,19517000,0.1,27338000,1.1,345718000,0.0,1764872000,0.0,4010000,1.2,28326000,1.6,29947000,1.5,36238000,1.5,6100,0.0,2676000,0.2,2804000,0.1,3610000,0.1
South-eastern Asia,93859000,593415000,668620000,794002000,10124000,10.8,130271000,22.0,152878000,22.9,200902000,25.3,20234000,21.6,218910000,36.9,248591000,37.2,302044000,38.0,1501000,1.6,6918000,1.2,7872000,1.2,9259000,1.2,2500,0.0,17126000,2.9,18834000,2.8,23341000,2.9,93859000,1.8,593415000,1.9,29895000,31.9,158923000,26.8,171784000,25.7,188460000,23.7,0,0.0,6408000,1.1,6921000,1.0,7700000,1.0
Western Asia,32982000,231995000,279637000,382502000,7529000,22.8,14178000,6.1,15606000,5.6,15835000,4.1,24981000,75.7,206010000,88.8,249306000,89.2,345008000,90.2,3100,0.0,1340000,0.6,2173000,0.8,2932000,0.8,1200,0.0,3102000,1.3,3308000,1.2,5714000,1.5,32982000,0.0,231995000,0.0,0,0.0,455000,0.2,630000,0.2,832000,0.2,550,0.0,347000,0.1,384000,0.1,517000,0.1
Eastern Europe,178184000,294771000,293013000,261977000,159695000,89.6,247550000,84.0,245905000,83.9,220373000,84.1,7920000,4.4,16776000,5.7,19040000,6.5,23076000,8.8,0,0.0,47700,0.0,50000,0.0,51500,0.0,306000,0.2,23612000,8.0,22370000,7.6,14525000,5.5,178184000,0.0,294771000,0.0,428000,0.2,578000,0.2,631000,0.2,625000,0.2,84100,0.0,4593000,1.6,3612000,1.2,2192000,0.8
Northern Europe,61473000,99205000,106261000,114960000,60324000,98.1,74228000,74.8,106261000,70.5,68689000,59.8,570,0.0,2865000,2.9,5881000,5.5,12123000,10.5,10,0.0,692000,0.7,730000,0.7,1019000,0.9,836000,1.4,17568000,17.7,20628000,19.4,27816000,24.2,61473000,0.0,99205000,0.1,100,0.0,299000,0.3,324000,0.3,410000,0.4,20800,0.0,2423000,2.4,2479000,2.3,3341000,2.9
