Religion,Region,Year,Percent Change
Agnostic,Africa,1970-2010,200.0
Agnostic,Africa,2010-2020,0.0
Agnostic,Africa,1970-2020,200.0
Agnostic,Asia,1970-2010,-40.69
Agnostic,Asia,2010-2020,-2.48
Agnostic,Asia,1970-2020,-42.16
Agnostic,Europe,1970-2010,-5.26
Agnostic,Europe,2010-2020,7.94
Agnostic,Europe,1970-2020,2.26
Agnostic,Latin America,1970-2010,52.38
Agnostic,Latin America,2010-2020,9.37
Agnostic,Latin America,1970-2020,66.67
Agnostic,Northern America,1970-2010,174.51
Agnostic,Northern America,2010-2020,24.29
Agnostic,Northern America,1970-2020,241.18
Agnostic,Oceania,1970-2010,344.12
Agnostic,Oceania,2010-2020,28.48
Agnostic,Oceania,1970-2020,470.59
Atheist,Asia,1970-2010,-45.1
Atheist,Asia,2010-2020,-10.71
Atheist,Asia,1970-2020,-50.98
Atheist,Europe,1970-2010,-74.39
Atheist,Europe,2010-2020,-4.76
Atheist,Europe,1970-2020,-75.61
Atheist,Latin America,1970-2010,25.0
Atheist,Latin America,2010-2020,0.0
Atheist,Latin America,1970-2020,25.0
Atheist,Northern America,1970-2010,500.0
Atheist,Northern America,2010-2020,383.33
Atheist,Northern America,1970-2020,2800.0
Atheist,Oceania,1970-2010,18.18
Atheist,Oceania,2010-2020,215.38
Atheist,Oceania,1970-2020,272.73
Buddhist,Asia,1970-2010,8.33
Buddhist,Asia,2010-2020,-3.42
Buddhist,Asia,1970-2020,4.63
Buddhist,Europe,1970-2010,100.0
Buddhist,Europe,2010-2020,50.0
Buddhist,Europe,1970-2020,200.0
Buddhist,Latin America,1970-2010,0.0
Buddhist,Latin America,2010-2020,0.0
Buddhist,Latin America,1970-2020,0.0
Buddhist,Northern America,1970-2010,1200.0
Buddhist,Northern America,2010-2020,0.0
Buddhist,Northern America,1970-2020,1200.0
Buddhist,Oceania,1970-2010,1500.0
Buddhist,Oceania,2010-2020,43.75
Buddhist,Oceania,1970-2020,2200.0
Christian,Africa,1970-2010,28.12
Christian,Africa,2010-2020,1.24
Christian,Africa,1970-2020,29.71
Christian,Asia,1970-2010,82.22
Christian,Asia,2010-2020,-1.22
Christian,Asia,1970-2020,80.0
Christian,Europe,1970-2010,5.22
Christian,Europe,2010-2020,-2.54
Christian,Europe,1970-2020,2.54
Christian,Latin America,1970-2010,-2.02
Christian,Latin America,2010-2020,-0.11
Christian,Latin America,1970-2020,-2.12
Christian,Northern America,1970-2010,-13.6
Christian,Northern America,2010-2020,-7.23
Christian,Northern America,1970-2020,-19.85
Christian,Oceania,1970-2010,-17.28
Christian,Oceania,2010-2020,-12.4
Christian,Oceania,1970-2020,-27.54
Hindu,Africa,1970-2010,0.0
Hindu,Africa,2010-2020,0.0
Hindu,Africa,1970-2020,0.0
Hindu,Asia,1970-2010,4.15
Hindu,Asia,2010-2020,0.0
Hindu,Asia,1970-2020,4.15
Hindu,Latin America,1970-2010,-50.0
Hindu,Latin America,2010-2020,0.0
Hindu,Latin America,1970-2020,-50.0
Hindu,Northern America,1970-2010,400.0
Hindu,Northern America,2010-2020,20.0
Hindu,Northern America,1970-2020,500.0
Hindu,Oceania,1970-2010,40.0
Hindu,Oceania,2010-2020,35.71
Hindu,Oceania,1970-2020,90.0
Muslim,Africa,1970-2010,2.71
Muslim,Africa,2010-2020,-0.48
Muslim,Africa,1970-2020,2.22
Muslim,Asia,1970-2010,37.04
Muslim,Asia,2010-2020,5.79
Muslim,Asia,1970-2020,44.97
Muslim,Europe,1970-2010,100.0
Muslim,Europe,2010-2020,21.43
Muslim,Europe,1970-2020,142.86
Muslim,Latin America,1970-2010,200.0
Muslim,Latin America,2010-2020,0.0
Muslim,Latin America,1970-2020,200.0
Muslim,Northern America,1970-2010,300.0
Muslim,Northern America,2010-2020,-6.25
Muslim,Northern America,1970-2020,275.0
Muslim,Oceania,1970-2010,275.0
Muslim,Oceania,2010-2020,40.0
Muslim,Oceania,1970-2020,425.0
