Religion,Region,1970-2010 %Change,2010-2020 %Change,1970-2020 %Change
Agnostic,Eastern Africa,200.0,-33.33,100.0
Agnostic,Middle Africa,500.0,0.0,500.0
Agnostic,Northern Africa,100.0,16.67,133.33
Agnostic,Southern Africa,700.0,0.0,700.0
Agnostic,Western Africa,200.0,0.0,200.0
Agnostic,Eastern Asia,-28.95,1.35,-27.99
Agnostic,South-central Asia,-33.33,-90.0,-93.33
Agnostic,South-eastern Asia,45.0,-3.45,40.0
Agnostic,Western Asia,-70.45,-7.69,-72.73
Agnostic,Eastern Europe,-62.09,-5.0,-63.98
Agnostic,Northern Europe,94.51,9.6,113.19
Agnostic,Southern Europe,16.44,8.24,26.03
Agnostic,Western Europe,182.19,9.71,209.59
Agnostic,Caribbean,-38.53,-4.48,-41.28
Agnostic,Central America,84.62,12.5,107.69
Agnostic,South America,158.33,12.9,191.67
Agnostic,Northern America,174.51,24.29,241.18
Agnostic,Australia/New Zealand,385.71,31.86,540.48
Agnostic,Melanesia,200.0,0.0,200.0
Agnostic,Micronesia,140.0,8.33,160.0
Agnostic,Polynesia,266.67,4.55,283.33
Atheist,Northern Africa,0.0,0.0,0.0
Atheist,Eastern Asia,-32.32,-4.48,-35.35
Atheist,South-central Asia,-77.78,-50.0,-88.89
Atheist,South-eastern Asia,120.0,-9.09,100.0
Atheist,Western Asia,-95.83,0.0,-95.83
Atheist,Eastern Europe,-90.18,-25.0,-92.64
Atheist,Northern Europe,-4.0,-4.17,-8.0
Atheist,Southern Europe,-8.7,0.0,-8.7
Atheist,Western Europe,26.09,3.45,30.43
Atheist,Caribbean,-25.0,-13.33,-35.0
Atheist,South America,25.0,0.0,25.0
Atheist,Northern America,500.0,383.33,2800.0
Atheist,Australia/New Zealand,28.57,216.67,307.14
Atheist,Polynesia,100.0,0.0,100.0
Buddhist,Eastern Asia,46.15,0.53,46.92
Buddhist,South-central Asia,-11.11,-6.25,-16.67
Buddhist,South-eastern Asia,-14.92,-4.1,-18.41
Buddhist,Eastern Europe,0.0,0.0,0.0
Buddhist,South America,0.0,0.0,0.0
Buddhist,Northern America,1200.0,0.0,1200.0
Buddhist,Australia/New Zealand,2000.0,47.62,3000.0
Buddhist,Melanesia,100.0,0.0,100.0
Buddhist,Micronesia,1600.0,-5.88,1500.0
Buddhist,Polynesia,0.0,0.0,0.0
Christian,Eastern Africa,33.87,-0.61,33.06
Christian,Middle Africa,14.11,0.61,14.8
Christian,Northern Africa,25.0,-41.25,-26.56
Christian,Southern Africa,9.14,-0.24,8.87
Christian,Western Africa,31.29,-0.27,30.94
Christian,Eastern Asia,636.36,-4.94,600.0
Christian,South-central Asia,14.29,0.0,14.29
Christian,South-eastern Asia,17.65,4.09,22.46
Christian,Western Asia,-16.44,-8.2,-23.29
Christian,Eastern Europe,47.63,-0.12,47.45
Christian,Northern Europe,-13.43,-5.75,-18.4
Christian,Southern Europe,-5.39,-2.3,-7.57
Christian,Western Europe,-22.21,-4.64,-25.82
Christian,Caribbean,6.78,0.72,7.54
Christian,Central America,-1.74,-0.21,-1.95
Christian,South America,-3.57,-0.33,-3.89
Christian,Northern America,-13.6,-7.23,-19.85
Christian,Australia/New Zealand,-24.12,-19.63,-39.01
Christian,Melanesia,3.39,0.66,4.07
Christian,Micronesia,-2.72,0.0,-2.72
Christian,Polynesia,-2.04,0.0,-2.04
Hindu,Eastern Africa,0.0,-20.0,-20.0
Hindu,Southern Africa,23.53,0.0,23.53
Hindu,South-central Asia,-10.34,-2.46,-12.54
Hindu,South-eastern Asia,-7.69,0.0,-7.69
Hindu,Northern Europe,133.33,0.0,133.33
Hindu,Caribbean,-18.18,0.0,-18.18
Hindu,South America,-50.0,0.0,-50.0
Hindu,Northern America,400.0,20.0,500.0
Hindu,Australia/New Zealand,900.0,90.0,1800.0
Hindu,Melanesia,-48.08,-18.52,-57.69
Muslim,Eastern Africa,12.31,0.91,13.33
Muslim,Middle Africa,12.79,-1.03,11.63
Muslim,Northern Africa,-3.36,5.5,1.95
Muslim,Southern Africa,36.36,6.67,45.45
Muslim,Western Africa,15.91,1.76,17.95
Muslim,Eastern Asia,16.67,7.14,25.0
Muslim,South-central Asia,-47.58,3.91,-45.53
Muslim,South-eastern Asia,6.65,0.81,7.51
Muslim,Western Asia,7.64,0.45,8.12
Muslim,Eastern Europe,35.71,14.04,54.76
Muslim,Northern Europe,262.5,89.66,587.5
Muslim,Southern Europe,106.25,13.64,134.37
Muslim,Western Europe,408.33,19.67,508.33
Muslim,Caribbean,0.0,0.0,0.0
Muslim,Central America,0.0,0.0,0.0
Muslim,South America,50.0,0.0,50.0
Muslim,Northern America,300.0,-6.25,275.0
Muslim,Australia/New Zealand,800.0,50.0,1250.0
Muslim,Melanesia,-46.15,-14.29,-53.85
