Religion,Region,Year,Percent Change
Agnostic,World,1970-2010,-33.33
Agnostic,World,2010-2020,-2.04
Agnostic,World,1970-2020,-34.69
Atheist,World,1970-2010,-55.56
Atheist,World,2010-2020,-5.0
Atheist,World,1970-2020,-57.78
Buddhist,World,1970-2010,14.29
Buddhist,World,2010-2020,-5.56
Buddhist,World,1970-2020,7.94
Christian,World,1970-2010,-0.3
Christian,World,2010-2020,-1.83
Christian,World,1970-2020,-2.13
Hindu,World,1970-2010,-85.71
Hindu,World,2010-2020,655.56
Hindu,World,1970-2020,7.94
Muslim,World,1970-2010,45.16
Muslim,World,2010-2020,7.56
Muslim,World,1970-2020,56.13
