COUNTRY,ISO3,NUMISO,COWCODE,ARDAID,CODER,REGION,WSOCDIS13X1990X,WSOCDIS13X1990,WSOCDIS13X1991,WSOCDIS13X1992,WSOCDIS13X1993,WSOCDIS13X1994,WSOCDIS13X1995,WSOCDIS13X1996,WSOCDIS13X1997,WSOCDIS13X1998,WSOCDIS13X1999,WSOCDIS13X2000,WSOCDIS13X2001,WSOCDIS13X2002,WSOCDIS13X2003,WSOCDIS13X2004,WSOCDIS13X2005,WSOCDIS13X2006,WSOCDIS13X2007,WSOCDIS13X2008,WSOCDIS13X2009,WSOCDIS13X2010,WSOCDIS13X2011,WSOCDIS13X2012,WSOCDIS13X2013,WSOCDIS13X2014,WSOCDIS13X2014X
Afghanistan,AFG,4.0,700.0,1.0,3,2,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0,2.0,2
Albania,ALB,8.0,339.0,3.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Algeria,DZA,12.0,615.0,4.0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1
Andorra,AND,20.0,232.0,6.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Angola,AGO,24.0,540.0,7.0,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Argentina,ARG,32.0,160.0,11.0,1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0
Armenia,ARM,51.0,371.0,12.0,1,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Australia,AUS,36.0,900.0,14.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Austria,AUT,40.0,305.0,15.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Azerbaijan,AZE,31.0,373.0,16.0,1,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
